Family_ID;cdhit_meme;cdhit_streme;mmseq_meme;mmseq_streme
FAM_001;1;0;1;0
FAM_002;0;1;0;0
FAM_003;0;0;1;0
FAM_004;0;1;0;0
FAM_005;0;0;0;1
FAM_006;0;1;0;0
FAM_007;0;1;0;0
FAM_008;0;0;0;1
FAM_009;0;0;0;1
FAM_010;0;0;0;1
FAM_011;0;0;0;1
FAM_012;0;0;0;1
FAM_013;0;0;0;1
FAM_014;0;1;0;0
FAM_015;0;0;1;0
FAM_016;0;0;1;0
FAM_017;0;1;0;0
FAM_018;0;0;1;0
FAM_019;1;0;1;0
FAM_020;0;0;0;1
FAM_021;0;0;1;0
FAM_022;0;1;0;0
FAM_023;1;0;0;0
FAM_024;1;0;1;0
FAM_025;0;0;0;1
FAM_026;0;0;1;0
FAM_027;1;0;0;0
FAM_028;1;0;0;0
FAM_029;1;0;0;0
FAM_030;1;0;0;0
FAM_031;0;0;0;1
FAM_032;0;0;0;1
FAM_033;0;0;1;0
FAM_034;0;0;0;1
FAM_035;0;1;0;0
FAM_036;0;1;0;0
FAM_037;0;0;0;1
FAM_038;0;0;1;0
FAM_039;0;1;0;0
FAM_040;0;0;0;1
FAM_041;0;0;0;1
FAM_042;0;0;0;1
FAM_043;0;1;0;0
FAM_044;0;1;0;0
FAM_045;0;1;0;0
FAM_046;1;0;0;0
FAM_047;0;0;0;1
FAM_048;0;1;0;0
FAM_049;1;0;0;0
FAM_050;0;1;0;0
FAM_051;0;0;0;1
FAM_052;1;0;1;0
FAM_053;0;0;0;1
FAM_054;0;1;0;1
FAM_055;0;0;1;0
FAM_056;1;1;1;1
FAM_057;0;0;0;1
FAM_058;1;0;0;0
FAM_059;0;0;0;1
FAM_060;0;1;0;0
FAM_061;0;1;0;0
FAM_062;0;0;0;1
FAM_063;0;1;0;0
FAM_064;0;0;0;1
FAM_065;1;0;0;0
FAM_066;0;0;0;1
FAM_067;0;0;0;1
FAM_068;0;1;0;0
FAM_069;0;0;0;1
FAM_070;0;0;0;1
FAM_071;0;1;0;0
FAM_072;0;0;0;1
FAM_073;0;1;0;0
FAM_074;0;0;0;1
FAM_075;1;0;0;0
FAM_076;0;0;1;0
FAM_077;1;0;1;0
FAM_078;0;1;0;0
FAM_079;0;0;0;1
FAM_080;0;0;0;1
FAM_081;0;1;0;0
FAM_082;0;0;1;0
FAM_083;0;0;0;1
FAM_084;0;0;1;0
FAM_085;1;0;0;0
FAM_086;1;0;0;0
FAM_087;1;0;0;0
FAM_088;1;1;0;0
FAM_089;0;0;0;1
FAM_090;0;0;1;1
FAM_091;0;1;0;0
FAM_092;0;0;1;0
FAM_093;0;1;0;0
FAM_094;0;1;0;0
FAM_095;1;0;0;0
FAM_096;1;0;0;0
FAM_097;0;0;0;1
FAM_098;0;1;0;1
FAM_099;0;0;0;1
FAM_100;1;0;0;0
FAM_101;1;0;1;0
FAM_102;0;0;1;0
FAM_103;0;0;1;0
FAM_104;0;1;0;1
FAM_105;1;0;0;0
FAM_106;1;0;1;0
FAM_107;0;1;0;0
FAM_108;0;1;0;0
FAM_109;0;1;0;0
FAM_110;0;1;1;1
FAM_111;0;1;0;0
FAM_112;0;1;0;0
FAM_113;0;0;0;1
FAM_114;0;1;0;0
FAM_115;0;1;0;0
FAM_116;0;0;0;1
FAM_117;0;1;0;0
FAM_118;0;0;1;0
FAM_119;0;0;1;0
FAM_120;0;0;0;1
FAM_121;0;0;1;0
FAM_122;0;1;0;0
FAM_123;0;1;0;1
FAM_124;0;0;0;1
FAM_125;0;1;0;0
FAM_126;1;0;0;0
FAM_127;0;0;0;1
FAM_128;0;0;0;1
FAM_129;0;0;0;1
FAM_130;0;0;0;1
FAM_131;0;1;0;0
FAM_132;0;0;0;1
FAM_133;1;0;0;0
FAM_134;0;1;0;0
FAM_135;0;0;0;1
FAM_136;1;0;1;1
FAM_137;0;0;0;1
FAM_138;0;1;0;0
FAM_139;0;1;0;0
FAM_140;0;0;1;0
FAM_141;1;0;0;0
FAM_142;0;0;0;1
FAM_143;0;1;0;0
FAM_144;0;0;0;1
FAM_145;0;0;0;1
FAM_146;0;0;0;1
FAM_147;0;0;0;1
FAM_148;0;1;0;0
FAM_149;0;0;0;1
FAM_150;0;1;0;0
FAM_151;0;1;0;0
FAM_152;0;0;0;1
FAM_153;0;0;0;1
FAM_154;0;0;0;1
FAM_155;1;0;0;0
FAM_156;0;0;1;0
FAM_157;1;0;0;0
FAM_158;0;1;0;0
FAM_159;0;1;0;0
FAM_160;0;1;0;0
FAM_161;1;0;1;0
FAM_162;1;0;0;0
FAM_163;0;0;1;0
FAM_164;0;0;1;1
FAM_165;0;0;1;0
FAM_166;1;0;0;0
FAM_167;0;0;1;0
FAM_168;0;0;0;1
FAM_169;1;0;0;0
FAM_170;0;1;0;0
FAM_171;1;0;0;0
FAM_172;0;1;0;0
